"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Signaling by GPCR","REAC:R-HSA-372790","6.190272854268113e-11","10.208290207766414","1158","175","55","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,CALM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,ADRB3,PRKCQ,HRH4,GNRHR,HTR5A,SRC,HTR1F,EGFR,PRKCA,PRKCB,PDPK1,HRH3,OPRM1,PRKCD,PRKCG,OPRK1,HTR4,PRKCE,ADORA2A,HRH2,CASR,MAPK3,BTK,PIK3CG,S1PR5,OPRD1"
"REAC","Neuronal System","REAC:R-HSA-112316","1.9852398852393372e-10","9.702187008023705","400","175","31","10531","CALM1,KCNH2,SLC6A4,HTR3A,SLC6A3,TUBA1A,TUBA4A,TUBB1,SRC,PRKCA,PRKCB,HTR3E,PDPK1,GRIN2A,HTR3D,TUBB4B,PRKCG,HTR3C,ALDH2,HSPA8,GRIN2B,GLRA3,GRIN2C,MAPK3,GRIN3A,HTR3B,GRIN1,GABRB3,GRIN3B,PTPRS,GRIN2D"
"REAC","Signaling by Receptor Tyrosine Kinases","REAC:R-HSA-9006934","1.2674422554677201e-9","8.8970718179536","486","175","33","10531","CALM1,ESR1,KIT,PDGFRB,FLT1,KDR,LCK,FLT4,FLT3,CSK,LYN,SRC,EGFR,YES1,PRKCA,PRKCB,FYN,PDPK1,ATP6V1A,PRKCZ,PRKCD,PRKCE,GRIN2B,ERBB2,MAPK14,ADORA2A,MAPKAPK2,PDGFRA,MAPK3,GABRB3,BRAF,PTPRS,STAT5B"
"REAC","Diseases of signal transduction by growth factor receptors and second messengers","REAC:R-HSA-5663202","2.6401492951165726e-9","8.578371513958942","359","175","28","10531","CALM1,ESR1,KIT,HDAC2,PDGFRB,KDR,LCK,HDAC1,CSK,SRC,EGFR,FYN,HDAC8,PDPK1,RAF1,FGFR1,ERBB2,PDGFRA,HDAC3,MAPK3,HDAC6,GSK3B,BCR,BRAF,PSMB1,ESR2,PSMB5,STAT5B"
"REAC","Intracellular signaling by second messengers","REAC:R-HSA-9006925","4.221479433489378e-9","8.37453532221306","289","175","25","10531","CALM1,ESR1,KIT,HDAC2,PDGFRB,LCK,HDAC1,FRK,SRC,EGFR,PRKCA,FYN,PDPK1,PRKCD,PRKCG,PRKCE,ERBB2,PDGFRA,HDAC3,MAPK3,JUN,GSK3B,PSMB1,ESR2,PSMB5"
"REAC","Activation of NMDA receptors and postsynaptic events","REAC:R-HSA-442755","5.98134313671158e-9","8.223201282338644","89","175","15","10531","CALM1,TUBA1A,TUBA4A,TUBB1,SRC,PDPK1,GRIN2A,TUBB4B,GRIN2B,GRIN2C,MAPK3,GRIN3A,GRIN1,GRIN3B,GRIN2D"
"REAC","Assembly and cell surface presentation of NMDA receptors","REAC:R-HSA-9609736","2.8951018072294932e-8","7.538336159556382","43","175","11","10531","TUBA1A,TUBA4A,TUBB1,GRIN2A,TUBB4B,GRIN2B,GRIN2C,GRIN3A,GRIN1,GRIN3B,GRIN2D"
"REAC","Cytokine Signaling in Immune system","REAC:R-HSA-1280215","3.307122475974827e-8","7.480549721126487","816","175","41","10531","CALM1,KIT,PDGFRB,PTGS2,LCK,FLT3,CSK,BCL2,LYN,SRC,EGFR,YES1,FYN,PDPK1,RET,CSF1R,SYK,RAF1,OPRM1,PRKCD,IKBKB,MAPK8,PIM1,HSPA8,GRIN2B,ERBB2,MAPK14,MAPKAPK2,PDGFRA,PPIA,MAPK3,JUN,GRIN1,PTPN4,BCL2L1,OPRD1,BRAF,PSMB1,GRIN2D,PSMB5,STAT5B"
"REAC","Disease","REAC:R-HSA-1643685","3.573421469254157e-8","7.446915757663649","1397","175","56","10531","DRD1,DRD5,CALM1,HTR6,HTR7,ESR1,KIT,HDAC2,SLC6A2,ADRB1,SLC6A3,PDGFRB,ADRB2,KDR,LCK,ABL1,TUBA1A,HDAC1,TUBA4A,TUBB1,ADRB3,CSK,LYN,SRC,EGFR,YES1,FYN,HDAC8,PDPK1,TUBB4B,SYK,RAF1,FGFR1,FGR,IKBKB,MAPK8,HTR4,ERBB2,MAPK14,ADORA2A,HRH2,PDGFRA,PPIA,HDAC3,MAPK3,JUN,BTK,HDAC6,GSK3B,ABCB11,BCR,BRAF,PSMB1,ESR2,PSMB5,STAT5B"
"REAC","Hemostasis","REAC:R-HSA-109582","5.567422047462602e-8","7.254345855047197","657","175","36","10531","ADRA2A,ADRA2B,ADRA2C,CALM1,HDAC2,LCK,ABL1,TUBA1A,HDAC1,TUBA4A,ITGAL,TUBB1,CSK,PRKCQ,LYN,SRC,YES1,PRKCA,PRKCB,FYN,ORM2,PDPK1,TUBB4B,SYK,ORM1,RAF1,PRKCZ,FGR,CDK2,PRKCD,PRKCG,PRKCE,MAPK14,PPIA,MAPK3,PIK3CG"
"REAC","Post NMDA receptor activation events","REAC:R-HSA-438064","1.1871367225113017e-7","6.925499260478595","76","175","13","10531","CALM1,TUBA1A,TUBA4A,TUBB1,SRC,PDPK1,GRIN2A,TUBB4B,GRIN2B,GRIN2C,MAPK3,GRIN1,GRIN2D"
"REAC","Nuclear Receptor transcription pathway","REAC:R-HSA-383280","3.6544334371178283e-7","6.437179944070252","41","175","10","10531","ESR1,AR,RXRA,RARB,ESRRG,RXRB,RARG,RARA,RXRG,ESR2"
"REAC","FLT3 Signaling","REAC:R-HSA-9607240","3.7438947971525227e-7","6.4266763633682435","250","175","21","10531","CALM1,KIT,PDGFRB,FLT3,CSK,SRC,EGFR,FYN,PDPK1,RET,RAF1,GRIN2B,ERBB2,PDGFRA,MAPK3,GRIN1,BRAF,PSMB1,GRIN2D,PSMB5,STAT5B"
"REAC","Muscarinic acetylcholine receptors","REAC:R-HSA-390648","4.907186029357076e-7","6.30916747778598","5","175","5","10531","CHRM1,CHRM3,CHRM2,CHRM4,CHRM5"
"REAC","Dopamine receptors","REAC:R-HSA-390651","4.907186029357076e-7","6.30916747778598","5","175","5","10531","DRD2,DRD1,DRD3,DRD5,DRD4"
"REAC","G alpha (q) signalling events","REAC:R-HSA-416476","8.484320778846191e-7","6.071382919852649","212","175","19","10531","HTR2A,HTR2C,ADRA1A,ADRA1B,CHRM1,HRH1,HTR2B,CHRM3,CHRM5,ADRA1D,PRKCQ,GNRHR,EGFR,PRKCA,PRKCD,PRKCE,CASR,MAPK3,BTK"
"REAC","G alpha (i) signalling events","REAC:R-HSA-418594","9.094518819456235e-7","6.041220274014807","401","175","26","10531","HTR1A,DRD3,ADRA2A,ADRA2B,ADRA2C,CALM1,DRD4,HTR1D,HTR1B,HTR1E,CHRM2,CHRM4,PRKCQ,HRH4,HTR5A,SRC,HTR1F,PRKCA,HRH3,OPRM1,PRKCD,PRKCG,OPRK1,CASR,S1PR5,OPRD1"
"REAC","MECP2 regulates neuronal receptors and channels","REAC:R-HSA-9022699","0.0000012828000179925612","5.89184104265218","16","175","7","10531","HDAC2,HDAC1,GRIN2A,OPRM1,OPRK1,GRIN2B,PTPN4"
"REAC","VEGFR2 mediated cell proliferation","REAC:R-HSA-5218921","0.0000012828000179925612","5.89184104265218","16","175","7","10531","CALM1,KDR,PRKCA,PRKCB,PDPK1,PRKCZ,PRKCD"
"REAC","PIP3 activates AKT signaling","REAC:R-HSA-1257604","0.0000021070756195671723","5.67631987797926","249","175","20","10531","ESR1,KIT,HDAC2,PDGFRB,LCK,HDAC1,FRK,SRC,EGFR,FYN,PDPK1,ERBB2,PDGFRA,HDAC3,MAPK3,JUN,GSK3B,PSMB1,ESR2,PSMB5"
"REAC","Leishmania infection","REAC:R-HSA-9658195","0.000002248352028659697","5.648135689484169","303","175","22","10531","DRD1,DRD5,CALM1,HTR6,HTR7,ADRB1,ADRB2,ABL1,ADRB3,LYN,YES1,FYN,SYK,FGR,MAPK8,HTR4,MAPK14,ADORA2A,HRH2,MAPK3,JUN,BTK"
"REAC","RAF/MAP kinase cascade","REAC:R-HSA-5673001","0.000003801359123222085","5.420061099650713","232","175","19","10531","CALM1,KIT,PDGFRB,FLT3,CSK,SRC,EGFR,FYN,RET,RAF1,GRIN2B,ERBB2,PDGFRA,MAPK3,GRIN1,BRAF,PSMB1,GRIN2D,PSMB5"
"REAC","MAPK1/MAPK3 signaling","REAC:R-HSA-5684996","0.000005393368783747185","5.268139882832435","237","175","19","10531","CALM1,KIT,PDGFRB,FLT3,CSK,SRC,EGFR,FYN,RET,RAF1,GRIN2B,ERBB2,PDGFRA,MAPK3,GRIN1,BRAF,PSMB1,GRIN2D,PSMB5"
"REAC","Regulation of KIT signaling","REAC:R-HSA-1433559","0.00000673901464245244","5.171403599997286","12","175","6","10531","KIT,LCK,LYN,YES1,PRKCA,FYN"
"REAC","PI3K/AKT Signaling in Cancer","REAC:R-HSA-2219528","0.00000973565834886162","5.011634675103339","89","175","12","10531","ESR1,KIT,PDGFRB,LCK,SRC,EGFR,FYN,PDPK1,ERBB2,PDGFRA,GSK3B,ESR2"
"REAC","MAPK family signaling cascades","REAC:R-HSA-5683057","0.000012134567031898951","4.915975714924275","276","175","20","10531","CALM1,KIT,PDGFRB,FLT3,CSK,SRC,EGFR,FYN,RET,RAF1,GRIN2B,ERBB2,PDGFRA,MAPK3,JUN,GRIN1,BRAF,PSMB1,GRIN2D,PSMB5"
"REAC","Long-term potentiation","REAC:R-HSA-9620244","0.000012154623309562546","4.9152584960648555","21","175","7","10531","CALM1,SRC,GRIN2A,GRIN2B,GRIN2C,GRIN1,GRIN2D"
"REAC","RUNX2 regulates osteoblast differentiation","REAC:R-HSA-8940973","0.00002491658874793584","4.603511415839359","23","175","7","10531","ABL1,AR,SRC,YES1,HDAC3,MAPK3,HDAC6"
"REAC","Constitutive Signaling by Aberrant PI3K in Cancer","REAC:R-HSA-2219530","0.00002593646383298302","4.586089235750348","62","175","10","10531","ESR1,KIT,PDGFRB,LCK,SRC,EGFR,FYN,ERBB2,PDGFRA,ESR2"
"REAC","Nervous system development","REAC:R-HSA-9675108","0.000027517001554417498","4.560398891632641","574","175","29","10531","HDAC2,HMGCR,ABL1,TUBA1A,TUBA4A,TUBB1,PRKCQ,LYN,SRC,EGFR,YES1,PRKCA,FYN,RET,TUBB4B,EPHA2,EPHB4,MAPK8,ABL2,HSPA8,GRIN2B,ERBB2,MAPK14,MAPK3,EPHA5,GRIN1,GSK3B,PSMB1,PSMB5"
"REAC","Histamine receptors","REAC:R-HSA-390650","0.000030209325924585963","4.519858965243064","4","175","4","10531","HRH1,HRH4,HRH3,HRH2"
"REAC","G alpha (z) signalling events","REAC:R-HSA-418597","0.0000309762313511468","4.508971420758863","48","175","9","10531","ADRA2A,ADRA2B,ADRA2C,PRKCQ,PRKCA,PRKCB,PRKCD,PRKCG,PRKCE"
"REAC","Signaling by VEGF","REAC:R-HSA-194138","0.000057123564345767514","4.243184701662505","104","175","12","10531","CALM1,FLT1,KDR,FLT4,PRKCA,PRKCB,FYN,PDPK1,PRKCZ,PRKCD,MAPK14,MAPKAPK2"
"REAC","Anti-inflammatory response favouring Leishmania parasite infection","REAC:R-HSA-9662851","0.0000598449655066992","4.222972379002357","221","175","17","10531","DRD1,DRD5,CALM1,HTR6,HTR7,ADRB1,ADRB2,ADRB3,LYN,YES1,FYN,SYK,FGR,HTR4,MAPK14,ADORA2A,HRH2"
"REAC","Leishmania parasite growth and survival","REAC:R-HSA-9664433","0.0000598449655066992","4.222972379002357","221","175","17","10531","DRD1,DRD5,CALM1,HTR6,HTR7,ADRB1,ADRB2,ADRB3,LYN,YES1,FYN,SYK,FGR,HTR4,MAPK14,ADORA2A,HRH2"
"REAC","Infectious disease","REAC:R-HSA-5663205","0.00008316117709657288","4.080079372119208","751","175","33","10531","DRD1,DRD5,CALM1,HTR6,HTR7,ADRB1,ADRB2,LCK,ABL1,TUBA1A,TUBA4A,TUBB1,ADRB3,LYN,SRC,EGFR,YES1,FYN,TUBB4B,SYK,FGR,MAPK8,HTR4,MAPK14,ADORA2A,HRH2,PPIA,HDAC3,MAPK3,JUN,BTK,PSMB1,PSMB5"
"REAC","Signaling by Nuclear Receptors","REAC:R-HSA-9006931","0.0000925233203622","4.033748790199878","255","175","18","10531","CALM1,ESR1,HDAC1,BCL2,SRC,EGFR,PDPK1,RXRA,RARB,PRKCZ,RXRB,RARG,RARA,HDAC3,RXRG,MAPK3,JUN,ESR2"
"REAC","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","REAC:R-HSA-6811558","0.00009487497928802627","4.022848305906444","89","175","11","10531","ESR1,KIT,PDGFRB,LCK,SRC,EGFR,FYN,ERBB2,PDGFRA,MAPK3,ESR2"
"REAC","Signaling by Interleukins","REAC:R-HSA-449147","0.00013676765899641079","3.864016586679618","446","175","24","10531","PTGS2,LCK,BCL2,LYN,YES1,FYN,CSF1R,SYK,OPRM1,IKBKB,MAPK8,PIM1,HSPA8,MAPK14,MAPKAPK2,PPIA,MAPK3,JUN,PTPN4,BCL2L1,OPRD1,PSMB1,PSMB5,STAT5B"
"REAC","Axon guidance","REAC:R-HSA-422475","0.00014232199188839392","3.8467279866492268","549","175","27","10531","ABL1,TUBA1A,TUBA4A,TUBB1,PRKCQ,LYN,SRC,EGFR,YES1,PRKCA,FYN,RET,TUBB4B,EPHA2,EPHB4,MAPK8,ABL2,HSPA8,GRIN2B,ERBB2,MAPK14,MAPK3,EPHA5,GRIN1,GSK3B,PSMB1,PSMB5"
"REAC","RUNX2 regulates bone development","REAC:R-HSA-8941326","0.0001875581962774486","3.726863952466125","30","175","7","10531","ABL1,AR,SRC,YES1,HDAC3,MAPK3,HDAC6"
"REAC","Transcriptional Regulation by MECP2","REAC:R-HSA-8986944","0.00019839943084964202","3.7024595780448157","59","175","9","10531","CALM1,HDAC2,HDAC1,GRIN2A,OPRM1,OPRK1,GRIN2B,HDAC3,PTPN4"
"REAC","Negative regulation of the PI3K/AKT network","REAC:R-HSA-199418","0.00020718769950264657","3.6836360317293986","96","175","11","10531","ESR1,KIT,PDGFRB,LCK,SRC,EGFR,FYN,ERBB2,PDGFRA,MAPK3,ESR2"
"REAC","Negative regulation of NMDA receptor-mediated neuronal transmission","REAC:R-HSA-9617324","0.0002530786622447181","3.5967444698556603","20","175","6","10531","CALM1,GRIN2A,GRIN2B,GRIN2C,GRIN1,GRIN2D"
"REAC","Unblocking of NMDA receptors, glutamate binding and activation","REAC:R-HSA-438066","0.0002530786622447181","3.5967444698556603","20","175","6","10531","CALM1,GRIN2A,GRIN2B,GRIN2C,GRIN1,GRIN2D"
"REAC","Signaling by ERBB2","REAC:R-HSA-1227986","0.00030925099451979785","3.5096888950496394","46","175","8","10531","SRC,EGFR,YES1,PRKCA,FYN,PRKCD,PRKCE,ERBB2"
"REAC","Synaptic adhesion-like molecules","REAC:R-HSA-8849932","0.0003494482778187812","3.456617095512501","21","175","6","10531","GRIN2A,GRIN2B,GRIN2C,GRIN1,PTPRS,GRIN2D"
"REAC","GPVI-mediated activation cascade","REAC:R-HSA-114604","0.000577605348491583","3.2383687939536068","35","175","7","10531","LCK,LYN,FYN,PDPK1,SYK,PRKCZ,PIK3CG"
"REAC","Fc epsilon receptor (FCERI) signaling","REAC:R-HSA-2454202","0.0007921854201661477","3.101173154862371","182","175","14","10531","CALM1,PRKCQ,LYN,FYN,PDPK1,SYK,IKBKB,MAPK8,MAPK3,JUN,BTK,PSMB1,PSMB5,ITK"
"REAC","RHO GTPases Activate NADPH Oxidases","REAC:R-HSA-5668599","0.0008315900723650821","3.0800907039759684","24","175","6","10531","PRKCA,PRKCB,PRKCZ,PRKCD,MAPK14,MAPK3"
"REAC","Platelet Aggregation (Plug Formation)","REAC:R-HSA-76009","0.0010394201316463053","2.983208875950495","38","175","7","10531","ADRA2A,ADRA2B,ADRA2C,CSK,SRC,PDPK1,SYK"
"REAC","Signaling by SCF-KIT","REAC:R-HSA-1433557","0.0010394201316463053","2.983208875950495","38","175","7","10531","KIT,LCK,LYN,YES1,PRKCA,FYN,STAT5B"
"REAC","Extra-nuclear estrogen signaling","REAC:R-HSA-9009391","0.0012557128589918455","2.9011096583791933","73","175","9","10531","CALM1,ESR1,BCL2,SRC,EGFR,PDPK1,PRKCZ,MAPK3,ESR2"
"REAC","VEGFA-VEGFR2 Pathway","REAC:R-HSA-4420097","0.001379382549943454","2.860315272410585","94","175","10","10531","CALM1,KDR,PRKCA,PRKCB,FYN,PDPK1,PRKCZ,PRKCD,MAPK14,MAPKAPK2"
"REAC","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling","REAC:R-HSA-442742","0.001383725126897538","2.858950172688277","26","175","6","10531","CALM1,PDPK1,GRIN2B,MAPK3,GRIN1,GRIN2D"
"REAC","Transcriptional regulation by RUNX2","REAC:R-HSA-8878166","0.001639090577930624","2.785397046180254","118","175","11","10531","ESR1,ABL1,AR,SRC,YES1,HDAC3,MAPK3,HDAC6,GSK3B,PSMB1,PSMB5"
"REAC","Adrenaline signalling through Alpha-2 adrenergic receptor","REAC:R-HSA-392023","0.0018490917635700078","2.7330415358807327","3","175","3","10531","ADRA2A,ADRA2B,ADRA2C"
"REAC","Immune System","REAC:R-HSA-168256","0.002803162402123105","2.552351740519138","2116","175","60","10531","CALM1,TUBB,KIT,PDGFRB,PTGS2,LCK,ABL1,TUBA1A,TUBA4A,ITGAL,FLT3,TUBB1,CSK,BCL2,PRKCQ,LYN,FRK,SRC,EGFR,YES1,PRKCB,FYN,ORM2,PDPK1,RET,CSF1R,TUBB4B,SYK,ATP6V1A,ORM1,RAF1,OPRM1,FGR,PRKCD,PGRMC1,IKBKB,MAPK8,PIM1,PVR,HSPA8,PRKCE,GRIN2B,ERBB2,MAPK14,MAPKAPK2,PDGFRA,PPIA,MAPK3,JUN,BTK,GRIN1,PTPN4,BCL2L1,OPRD1,BRAF,PSMB1,GRIN2D,PSMB5,ITK,STAT5B"
"REAC","Generic Transcription Pathway","REAC:R-HSA-212436","0.0028986260435409344","2.5378078100683914","1179","175","40","10531","CALM1,ESR1,KIT,HDAC2,ABL1,AR,HDAC1,ITGAL,PRKCQ,SRC,EGFR,YES1,PRKCB,HDAC8,PDPK1,CSF1R,GRIN2A,RXRA,RARB,ESRRG,OPRM1,CDK2,OPRK1,GRIN2B,ERBB2,MAPK14,RXRB,RARG,RARA,HDAC3,RXRG,MAPK3,JUN,HDAC6,PTPN4,GSK3B,PSMB1,NR4A3,ESR2,PSMB5"
"REAC","SHC1 events in ERBB2 signaling","REAC:R-HSA-1250196","0.0035265898851227794","2.4526450424544723","18","175","5","10531","EGFR,PRKCA,PRKCD,PRKCE,ERBB2"
"REAC","Activation of the AP-1 family of transcription factors","REAC:R-HSA-450341","0.005865655077176836","2.231683478771601","10","175","4","10531","MAPK8,MAPK14,MAPK3,JUN"
"REAC","PECAM1 interactions","REAC:R-HSA-210990","0.009098016397262834","2.0410532847808107","11","175","4","10531","LCK,LYN,YES1,FYN"
"REAC","Developmental Biology","REAC:R-HSA-1266738","0.010959697730029857","1.9602014235879945","1069","175","36","10531","HDAC2,HMGCR,ABL1,TUBA1A,TUBA4A,TUBB1,PRKCQ,LYN,SRC,EGFR,YES1,PRKCA,FYN,RET,RXRA,TUBB4B,RARB,EPHA2,EPHB4,CDK2,MAPK8,ABL2,HSPA8,GRIN2B,ERBB2,MAPK14,RARG,RARA,HDAC3,MAPK3,JUN,EPHA5,GRIN1,GSK3B,PSMB1,PSMB5"
"REAC","Innate Immune System","REAC:R-HSA-168249","0.011876673008924338","1.9253052004511526","1073","175","36","10531","CALM1,TUBB,LCK,ABL1,ITGAL,BCL2,PRKCQ,LYN,FRK,YES1,FYN,ORM2,PDPK1,TUBB4B,SYK,ATP6V1A,ORM1,RAF1,FGR,PRKCD,PGRMC1,IKBKB,MAPK8,HSPA8,PRKCE,MAPK14,MAPKAPK2,PPIA,MAPK3,JUN,BTK,PTPN4,BCL2L1,PSMB1,PSMB5,ITK"
"REAC","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors","REAC:R-HSA-8866910","0.013470269015101101","1.8706237308837461","12","175","4","10531","ESR1,KIT,EGFR,ERBB2"
"REAC","Disinhibition of SNARE formation","REAC:R-HSA-114516","0.018040722058448855","1.7437460843259833","5","175","3","10531","PRKCA,PRKCB,PRKCG"
"REAC","EPHB-mediated forward signaling","REAC:R-HSA-3928662","0.01902244188157754","1.7207337341060405","40","175","6","10531","LYN,YES1,FYN,EPHB4,GRIN2B,GRIN1"
"REAC","RNA Polymerase II Transcription","REAC:R-HSA-73857","0.02835014851484894","1.5474446616737048","1300","175","40","10531","CALM1,ESR1,KIT,HDAC2,ABL1,AR,HDAC1,ITGAL,PRKCQ,SRC,EGFR,YES1,PRKCB,HDAC8,PDPK1,CSF1R,GRIN2A,RXRA,RARB,ESRRG,OPRM1,CDK2,OPRK1,GRIN2B,ERBB2,MAPK14,RXRB,RARG,RARA,HDAC3,RXRG,MAPK3,JUN,HDAC6,PTPN4,GSK3B,PSMB1,NR4A3,ESR2,PSMB5"
"REAC","Signaling by Retinoic Acid","REAC:R-HSA-5362517","0.028992199534099553","1.537718835031834","43","175","6","10531","RXRA,RARB,RXRB,RARG,RARA,RXRG"
"REAC","ADORA2B mediated anti-inflammatory cytokines production","REAC:R-HSA-9660821","0.02949004147645604","1.5303246166315414","133","175","10","10531","DRD1,DRD5,HTR6,HTR7,ADRB1,ADRB2,ADRB3,HTR4,ADORA2A,HRH2"
"REAC","RHO GTPase Effectors","REAC:R-HSA-195258","0.02996213499273979","1.5234272436251077","283","175","15","10531","CALM1,ABL1,TUBA1A,AR,TUBA4A,TUBB1,PRKCA,PRKCB,PDPK1,TUBB4B,PRKCZ,PRKCD,MAPK14,MAPK3,BTK"
